Priority,Score,PANCE Yield,System,Subcategory,Condition,Missing Fields
85,15,0,"DERM","Infectious Diseases","Cellulitis","symptoms, treatment, diagnostics, gold_standard_dx, first_line_rx, buzzwords, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, riskFactors, complications, prognosis, differentialDiagnosis, mnemonic"
85,15,0,"DERM","Bites and Stings","Envenomations / Arthropod Bite Reactions","symptoms, treatment, diagnostics, gold_standard_dx, first_line_rx, buzzwords, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, riskFactors, complications, prognosis, differentialDiagnosis, mnemonic"
85,15,0,"ENDO","Thyroid Disorders","Goiter","symptoms, treatment, diagnostics, gold_standard_dx, first_line_rx, buzzwords, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, riskFactors, complications, prognosis, differentialDiagnosis, mnemonic"
85,15,0,"ENDO","Pituitary Disorders","Dwarfism","symptoms, treatment, diagnostics, gold_standard_dx, first_line_rx, buzzwords, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, riskFactors, complications, prognosis, differentialDiagnosis, mnemonic"
85,15,0,"ENDO","Neoplasms","Neoplastic Syndrome (Paraneoplastic)","symptoms, treatment, diagnostics, gold_standard_dx, first_line_rx, buzzwords, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, riskFactors, complications, prognosis, differentialDiagnosis, mnemonic"
85,15,0,"HEENT","Trauma","Blowout Fracture","symptoms, treatment, diagnostics, gold_standard_dx, first_line_rx, buzzwords, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, riskFactors, complications, prognosis, differentialDiagnosis, mnemonic"
85,15,0,"HEENT","Eye - Neuro-ophthalmologic","Nystagmus","symptoms, treatment, diagnostics, gold_standard_dx, first_line_rx, buzzwords, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, riskFactors, complications, prognosis, differentialDiagnosis, mnemonic"
85,15,0,"HEENT","Eye - Lacrimal","Dacryostenosis","symptoms, treatment, diagnostics, gold_standard_dx, first_line_rx, buzzwords, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, riskFactors, complications, prognosis, differentialDiagnosis, mnemonic"
85,15,0,"HEENT","Eye - Vision Abnormalities","Presbyopia","symptoms, treatment, diagnostics, gold_standard_dx, first_line_rx, buzzwords, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, riskFactors, complications, prognosis, differentialDiagnosis, mnemonic"
85,15,0,"HEENT","Ear - Inner","Eustachian Tube Dysfunction","symptoms, treatment, diagnostics, gold_standard_dx, first_line_rx, buzzwords, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, riskFactors, complications, prognosis, differentialDiagnosis, mnemonic"
85,15,0,"HEENT","Ear - Inner","Conductive Hearing Impairment","symptoms, treatment, diagnostics, gold_standard_dx, first_line_rx, buzzwords, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, riskFactors, complications, prognosis, differentialDiagnosis, mnemonic"
85,15,0,"HEENT","Ear - Inner","Sensorineural Hearing Impairment","symptoms, treatment, diagnostics, gold_standard_dx, first_line_rx, buzzwords, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, riskFactors, complications, prognosis, differentialDiagnosis, mnemonic"
85,15,0,"HEENT","Oropharyngeal - Infectious/Inflammatory","Deep Neck Infection","symptoms, treatment, diagnostics, gold_standard_dx, first_line_rx, buzzwords, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, riskFactors, complications, prognosis, differentialDiagnosis, mnemonic"
85,15,0,"HEENT","Oropharyngeal - Infectious/Inflammatory","Dental Caries","symptoms, treatment, diagnostics, gold_standard_dx, first_line_rx, buzzwords, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, riskFactors, complications, prognosis, differentialDiagnosis, mnemonic"
85,15,0,"HEENT","Oropharyngeal - Infectious/Inflammatory","Gingivitis","symptoms, treatment, diagnostics, gold_standard_dx, first_line_rx, buzzwords, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, riskFactors, complications, prognosis, differentialDiagnosis, mnemonic"
85,15,0,"GI","Colorectal Disorders","Constipation","symptoms, treatment, diagnostics, gold_standard_dx, first_line_rx, buzzwords, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, riskFactors, complications, prognosis, differentialDiagnosis, mnemonic"
85,15,0,"GI","Colorectal Disorders","Diarrhea","symptoms, treatment, diagnostics, gold_standard_dx, first_line_rx, buzzwords, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, riskFactors, complications, prognosis, differentialDiagnosis, mnemonic"
85,15,0,"GI","Colorectal Disorders","Rectal Prolapse","symptoms, treatment, diagnostics, gold_standard_dx, first_line_rx, buzzwords, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, riskFactors, complications, prognosis, differentialDiagnosis, mnemonic"
85,15,0,"GI","Hepatic Disorders","Fatty Liver (Non-Alcoholic Fatty Liver Disease)","symptoms, treatment, diagnostics, gold_standard_dx, first_line_rx, buzzwords, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, riskFactors, complications, prognosis, differentialDiagnosis, mnemonic"
85,15,0,"GI","Gastrointestinal Disorders","Gastrointestinal Bleeding","symptoms, treatment, diagnostics, gold_standard_dx, first_line_rx, buzzwords, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, riskFactors, complications, prognosis, differentialDiagnosis, mnemonic"
85,15,0,"GI","Nutrition","Food Allergies","symptoms, treatment, diagnostics, gold_standard_dx, first_line_rx, buzzwords, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, riskFactors, complications, prognosis, differentialDiagnosis, mnemonic"
85,15,0,"GI","Nutrition","Food Sensitivities","symptoms, treatment, diagnostics, gold_standard_dx, first_line_rx, buzzwords, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, riskFactors, complications, prognosis, differentialDiagnosis, mnemonic"
85,15,0,"GI","Nutrition","Obesity","symptoms, treatment, diagnostics, gold_standard_dx, first_line_rx, buzzwords, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, riskFactors, complications, prognosis, differentialDiagnosis, mnemonic"
85,15,0,"GU","Neoplasms","Prostate Cancer","symptoms, treatment, diagnostics, gold_standard_dx, first_line_rx, buzzwords, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, riskFactors, complications, prognosis, differentialDiagnosis, mnemonic"
85,15,0,"GU","Bladder Disorders","Overactive Bladder","symptoms, treatment, diagnostics, gold_standard_dx, first_line_rx, buzzwords, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, riskFactors, complications, prognosis, differentialDiagnosis, mnemonic"
85,15,0,"GU","Congenital/Structural Renal Disorders","Hydronephrosis","symptoms, treatment, diagnostics, gold_standard_dx, first_line_rx, buzzwords, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, riskFactors, complications, prognosis, differentialDiagnosis, mnemonic"
85,15,0,"HEME","Cytopenias","Leukopenia","symptoms, treatment, diagnostics, gold_standard_dx, first_line_rx, buzzwords, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, riskFactors, complications, prognosis, differentialDiagnosis, mnemonic"
85,15,0,"HEME","Cytoses","Thrombocytosis (Reactive/Secondary)","symptoms, treatment, diagnostics, gold_standard_dx, first_line_rx, buzzwords, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, riskFactors, complications, prognosis, differentialDiagnosis, mnemonic"
85,15,0,"ID","Bacterial Diseases","Methicillin-Resistant Staphylococcus Aureus (MRSA) Infection","symptoms, treatment, diagnostics, gold_standard_dx, first_line_rx, buzzwords, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, riskFactors, complications, prognosis, differentialDiagnosis, mnemonic"
85,15,0,"ID","Viral Diseases","Polio (Poliomyelitis)","symptoms, treatment, diagnostics, gold_standard_dx, first_line_rx, buzzwords, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, riskFactors, complications, prognosis, differentialDiagnosis, mnemonic"
85,15,0,"MSK","Chest/Rib Disorders","Chest Wall Deformities","symptoms, treatment, diagnostics, gold_standard_dx, first_line_rx, buzzwords, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, riskFactors, complications, prognosis, differentialDiagnosis, mnemonic"
85,15,0,"MSK","Chest/Rib Disorders","Rib Fractures","symptoms, treatment, diagnostics, gold_standard_dx, first_line_rx, buzzwords, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, riskFactors, complications, prognosis, differentialDiagnosis, mnemonic"
85,15,0,"MSK","Upper Extremity Disorders","Thoracic Outlet Syndrome","symptoms, treatment, diagnostics, gold_standard_dx, first_line_rx, buzzwords, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, riskFactors, complications, prognosis, differentialDiagnosis, mnemonic"
85,15,0,"MSK","Spinal Disorders","Spinal Sprain / Strain","symptoms, treatment, diagnostics, gold_standard_dx, first_line_rx, buzzwords, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, riskFactors, complications, prognosis, differentialDiagnosis, mnemonic"
85,15,0,"NEURO","Cerebrovascular Disorders","Cerebral Aneurysm","symptoms, treatment, diagnostics, gold_standard_dx, first_line_rx, buzzwords, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, riskFactors, complications, prognosis, differentialDiagnosis, mnemonic"
85,15,0,"NEURO","Cerebrovascular Disorders","Coma","symptoms, treatment, diagnostics, gold_standard_dx, first_line_rx, buzzwords, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, riskFactors, complications, prognosis, differentialDiagnosis, mnemonic"
85,15,0,"NEURO","Trauma","Postconcussion Syndrome","symptoms, treatment, diagnostics, gold_standard_dx, first_line_rx, buzzwords, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, riskFactors, complications, prognosis, differentialDiagnosis, mnemonic"
85,15,0,"NEURO","Movement Disorders","Tardive Dyskinesia","symptoms, treatment, diagnostics, gold_standard_dx, first_line_rx, buzzwords, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, riskFactors, complications, prognosis, differentialDiagnosis, mnemonic"
85,15,0,"NEURO","Cognitive Disorders","Cognitive Impairment (Mild Cognitive Impairment)","symptoms, treatment, diagnostics, gold_standard_dx, first_line_rx, buzzwords, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, riskFactors, complications, prognosis, differentialDiagnosis, mnemonic"
85,15,0,"NEURO","Trauma","Spinal Cord Injury (Traumatic)","symptoms, treatment, diagnostics, gold_standard_dx, first_line_rx, buzzwords, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, riskFactors, complications, prognosis, differentialDiagnosis, mnemonic"
85,15,0,"PSYCH","Dissociative Disorders","Dissociative Disorders","symptoms, treatment, diagnostics, gold_standard_dx, first_line_rx, buzzwords, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, riskFactors, complications, prognosis, differentialDiagnosis, mnemonic"
85,15,0,"PSYCH","Abuse and Neglect","Intimate Partner Violence","symptoms, treatment, diagnostics, gold_standard_dx, first_line_rx, buzzwords, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, riskFactors, complications, prognosis, differentialDiagnosis, mnemonic"
85,15,0,"PSYCH","Abuse and Neglect","Elder Abuse","symptoms, treatment, diagnostics, gold_standard_dx, first_line_rx, buzzwords, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, riskFactors, complications, prognosis, differentialDiagnosis, mnemonic"
85,15,0,"PSYCH","Adjustment Disorders","Bereavement","symptoms, treatment, diagnostics, gold_standard_dx, first_line_rx, buzzwords, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, riskFactors, complications, prognosis, differentialDiagnosis, mnemonic"
85,15,0,"PULM","Infectious Disorders","Acute Bronchitis","symptoms, treatment, diagnostics, gold_standard_dx, first_line_rx, buzzwords, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, riskFactors, complications, prognosis, differentialDiagnosis, mnemonic"
85,15,0,"PULM","Pulmonary Circulation","Pulmonary Edema","symptoms, treatment, diagnostics, gold_standard_dx, first_line_rx, buzzwords, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, riskFactors, complications, prognosis, differentialDiagnosis, mnemonic"
85,15,0,"PULM","Restrictive Pulmonary Diseases","Pneumoconiosis (Coal Worker's Pneumoconiosis)","symptoms, treatment, diagnostics, gold_standard_dx, first_line_rx, buzzwords, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, riskFactors, complications, prognosis, differentialDiagnosis, mnemonic"
85,15,0,"RENAL","Fluid and Electrolyte Imbalances","Hypervolemia (Fluid Overload)","symptoms, treatment, diagnostics, gold_standard_dx, first_line_rx, buzzwords, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, riskFactors, complications, prognosis, differentialDiagnosis, mnemonic"
85,15,0,"RENAL","Fluid and Electrolyte Imbalances","Hypovolemia (Fluid Deficit)","symptoms, treatment, diagnostics, gold_standard_dx, first_line_rx, buzzwords, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, riskFactors, complications, prognosis, differentialDiagnosis, mnemonic"
85,15,0,"REPRO","Pregnancy","Breech Presentation","symptoms, treatment, diagnostics, gold_standard_dx, first_line_rx, buzzwords, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, riskFactors, complications, prognosis, differentialDiagnosis, mnemonic"
85,15,0,"REPRO","Pregnancy","Fetal Distress","symptoms, treatment, diagnostics, gold_standard_dx, first_line_rx, buzzwords, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, riskFactors, complications, prognosis, differentialDiagnosis, mnemonic"
85,15,0,"REPRO","Pregnancy","Rh Incompatibility (Maternal Alloimmunization)","symptoms, treatment, diagnostics, gold_standard_dx, first_line_rx, buzzwords, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, riskFactors, complications, prognosis, differentialDiagnosis, mnemonic"
35,65,0,"CV","Conduction Disorders / Dysrhythmias","Right Bundle Branch Block (RBBB)","gold_standard_dx, first_line_rx, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, complications, prognosis, differentialDiagnosis, mnemonic"
35,65,0,"DERM","Uncategorized","Herpes Simplex Virus (HSV)","gold_standard_dx, first_line_rx, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, complications, prognosis, differentialDiagnosis, mnemonic"
35,65,0,"MSK","Uncategorized","Osgood-Schlatter Disease","gold_standard_dx, first_line_rx, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, complications, prognosis, differentialDiagnosis, mnemonic"
35,65,0,"NEURO","Cerebrovascular Disorders","Hemorrhagic Stroke","gold_standard_dx, first_line_rx, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, complications, prognosis, differentialDiagnosis, mnemonic"
35,65,0,"DERM","Uncategorized","Herpetic Whitlow","gold_standard_dx, first_line_rx, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, complications, prognosis, differentialDiagnosis, mnemonic"
35,65,0,"CV","Conduction Disorders / Dysrhythmias","Brugada Syndrome","gold_standard_dx, first_line_rx, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, complications, prognosis, differentialDiagnosis, mnemonic"
35,65,0,"CV","Conduction Disorders / Dysrhythmias","Trifascicular Block","gold_standard_dx, first_line_rx, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, complications, prognosis, differentialDiagnosis, mnemonic"
35,65,0,"CV","Conduction Disorders / Dysrhythmias","Bifascicular Block","gold_standard_dx, first_line_rx, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, complications, prognosis, differentialDiagnosis, mnemonic"
35,65,0,"CV","Conduction Disorders / Dysrhythmias","Left Bundle Branch Block (LBBB)","gold_standard_dx, first_line_rx, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, complications, prognosis, differentialDiagnosis, mnemonic"
35,65,0,"DERM","Uncategorized","Dependent Rubor","gold_standard_dx, first_line_rx, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, complications, prognosis, differentialDiagnosis, mnemonic"
35,65,0,"GI","Uncategorized","Cecal Volvulus","gold_standard_dx, first_line_rx, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, complications, prognosis, differentialDiagnosis, mnemonic"
35,65,0,"GI","Uncategorized","Pneumoperitoneum","gold_standard_dx, first_line_rx, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, complications, prognosis, differentialDiagnosis, mnemonic"
35,65,0,"HEENT","Uncategorized","Otitis Media","gold_standard_dx, first_line_rx, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, complications, prognosis, differentialDiagnosis, mnemonic"
35,65,0,"DERM","Uncategorized","Beaus Lines","gold_standard_dx, first_line_rx, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, complications, prognosis, differentialDiagnosis, mnemonic"
35,65,0,"DERM","Uncategorized","Mongolian Spot","gold_standard_dx, first_line_rx, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, complications, prognosis, differentialDiagnosis, mnemonic"
35,65,0,"DERM","Uncategorized","Raynauds Phenomenon","gold_standard_dx, first_line_rx, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, complications, prognosis, differentialDiagnosis, mnemonic"
35,65,0,"DERM","Uncategorized","Port Wine Stain","gold_standard_dx, first_line_rx, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, complications, prognosis, differentialDiagnosis, mnemonic"
35,65,0,"PULM","Infectious Disorders","Pneumocystis Pneumonia (PCP)","gold_standard_dx, first_line_rx, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, complications, prognosis, differentialDiagnosis, mnemonic"
35,65,0,"MSK","Uncategorized","Prepatellar Bursitis","gold_standard_dx, first_line_rx, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, complications, prognosis, differentialDiagnosis, mnemonic"
35,65,0,"HEENT","Uncategorized","Black Hairy Tongue","gold_standard_dx, first_line_rx, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, complications, prognosis, differentialDiagnosis, mnemonic"
35,65,0,"HEENT","Uncategorized","Subconjunctival Hemorrhage","gold_standard_dx, first_line_rx, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, complications, prognosis, differentialDiagnosis, mnemonic"
35,65,0,"HEENT","Uncategorized","Geographic Tongue","gold_standard_dx, first_line_rx, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, complications, prognosis, differentialDiagnosis, mnemonic"
35,65,0,"HEENT","Uncategorized","Corneal Abrasion","gold_standard_dx, first_line_rx, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, complications, prognosis, differentialDiagnosis, mnemonic"
35,65,0,"HEENT","Uncategorized","Hypopyon","gold_standard_dx, first_line_rx, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, complications, prognosis, differentialDiagnosis, mnemonic"
35,65,0,"HEENT","Uncategorized","Septal Hematoma","gold_standard_dx, first_line_rx, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, complications, prognosis, differentialDiagnosis, mnemonic"
35,65,0,"MSK","Uncategorized","Bakers Cyst","gold_standard_dx, first_line_rx, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, complications, prognosis, differentialDiagnosis, mnemonic"
35,65,0,"CV","Conduction Disorders / Dysrhythmias","Left Anterior Fascicular Block (LAFB)","gold_standard_dx, first_line_rx, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, complications, prognosis, differentialDiagnosis, mnemonic"
35,65,0,"HEENT","Uncategorized","Torus Palatinus","gold_standard_dx, first_line_rx, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, complications, prognosis, differentialDiagnosis, mnemonic"
35,65,0,"HEENT","Uncategorized","Oral Hairy Leukoplakia","gold_standard_dx, first_line_rx, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, complications, prognosis, differentialDiagnosis, mnemonic"
35,65,0,"HEENT","Uncategorized","Tetracycline Staining","gold_standard_dx, first_line_rx, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, complications, prognosis, differentialDiagnosis, mnemonic"
35,65,0,"GI","Uncategorized","Toxic Megacolon","gold_standard_dx, first_line_rx, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, complications, prognosis, differentialDiagnosis, mnemonic"
35,65,0,"MSK","Uncategorized","Dupuytrens Contracture","gold_standard_dx, first_line_rx, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, complications, prognosis, differentialDiagnosis, mnemonic"
35,65,0,"MSK","Uncategorized","Tripod (Zygoma) Fracture","gold_standard_dx, first_line_rx, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, complications, prognosis, differentialDiagnosis, mnemonic"
35,65,0,"MSK","Uncategorized","Trigger Finger","gold_standard_dx, first_line_rx, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, complications, prognosis, differentialDiagnosis, mnemonic"
35,65,0,"GI","Esophagus","Zenkers Diverticulum","gold_standard_dx, first_line_rx, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, complications, prognosis, differentialDiagnosis, mnemonic"
35,65,0,"HEENT","Anxiety Disorders","Perforated Tympanic Membrane","gold_standard_dx, first_line_rx, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, complications, prognosis, differentialDiagnosis, mnemonic"
35,65,0,"MSK","Uncategorized","Clubfoot (Talipes Equinovarus)","gold_standard_dx, first_line_rx, classic_patient, clinical_pearls, best_initial_test, classic_triad, pathophysiology, etiology, epidemiology, physicalExam, complications, prognosis, differentialDiagnosis, mnemonic"
