slug,master_mode
swift-expert,FullStackEngineer
graphql-architect,FullStackEngineer
fullstack-developer,FullStackEngineer
api-designer,FullStackEngineer
javascript-pro,FullStackEngineer
rails-expert,FullStackEngineer
code,FullStackEngineer
security-review,SecurityComplianceAuditor
corporate-law-usa,SecurityComplianceAuditor
corporate-law-canada,SecurityComplianceAuditor
design--brand-guardian,SecurityComplianceAuditor
cybersecurity-expert,SecurityComplianceAuditor
intellectual-property-canada,SecurityComplianceAuditor
intellectual-property-usa,SecurityComplianceAuditor
initial-discovery-process,SecurityComplianceAuditor
security-auditor,SecurityComplianceAuditor
mcp-integration-mcp,SecurityComplianceAuditor
compliance-auditor-usa,SecurityComplianceAuditor
compliance-auditor-canada,SecurityComplianceAuditor
compliance-specialist-usa,SecurityComplianceAuditor
compliance-specialist-canada,SecurityComplianceAuditor
employment-law-usa,SecurityComplianceAuditor
employment-law-canada,SecurityComplianceAuditor
cloud-security-architect,SecurityComplianceAuditor
oss-license-auditor,SecurityComplianceAuditor
api-governance-lead,SecurityComplianceAuditor
modular-builder-modular-builder,SecurityComplianceAuditor
incident-command-director,SecurityComplianceAuditor
legal-advisor-usa,SecurityComplianceAuditor
legal-advisor-canada,SecurityComplianceAuditor
risk-manager,SecurityComplianceAuditor
criminal-law-canada,SecurityComplianceAuditor
criminal-law-usa,SecurityComplianceAuditor
flow-nexus--swarm,SecurityComplianceAuditor
flow-nexus--app-store,SecurityComplianceAuditor
flow-nexus--challenges,SecurityComplianceAuditor
flow-nexus--sandbox,SecurityComplianceAuditor
jest-test-engineer,TestingQualityAssurance
frontend-performance-auditor,TestingQualityAssurance
dataset-curator,TestingQualityAssurance
claude-code,TestingQualityAssurance
silent-coder,TestingQualityAssurance
code-skeptic,TestingQualityAssurance
qa-expert,TestingQualityAssurance
cli-developer,TestingQualityAssurance
project-manager,TestingQualityAssurance
github-issue-tracker,TestingQualityAssurance
prompt-engineer,TestingQualityAssurance
model-registry-auditor,TestingQualityAssurance
refactoring-specialist,TestingQualityAssurance
i18n-l10n-reviewer,TestingQualityAssurance
tdd,TestingQualityAssurance
react-specialist,TestingQualityAssurance
debug,TestingQualityAssurance
experience-polish-director,ProductUXStrategist
research-analyst,ProductUXStrategist
ui-expert,ProductUXStrategist
design--ux-researcher,ProductUXStrategist
design--visual-storyteller,ProductUXStrategist
scrum-master,ProductUXStrategist
trend-analyst,ProductUXStrategist
web-design-specialist,ProductUXStrategist
website-foundation-planner,ProductUXStrategist
business-analyst,ProductUXStrategist
content-marketer,ProductUXStrategist
game-developer,ProductUXStrategist
docs-writer,ProductUXStrategist
product-manager,ProductUXStrategist
product-analytics-scientist,ProductUXStrategist
growth-experimentation-lead,ProductUXStrategist
search-specialist,ProductUXStrategist
ux-researcher,ProductUXStrategist
competitive-analyst,ProductUXStrategist
market-researcher,ProductUXStrategist
accessibility-tester,ProductUXStrategist
data-researcher,ProductUXStrategist
technical-writer,ProductUXStrategist
customer-success-manager,ProductUXStrategist
research-analyst-elite-research-analyst,DataAIEngineer
quant-analyst,DataAIEngineer
tutorial,DataAIEngineer
python-developer,DataAIEngineer
rag-evaluator,DataAIEngineer
bullshit-detection-analyst,DataAIEngineer
knowledge-synthesizer,DataAIEngineer
ai-prompt-security-specialist,DataAIEngineer
nlp-engineer,DataAIEngineer
marketing-strategist,DataAIEngineer
data-scientist,DataAIEngineer
data-analyst,DataAIEngineer
engineering--mobile-app-builder,DataAIEngineer
